"fishing, wildlife viewing, outdoor adventures","Udawalawe National Park, Weligama Beach, Wilpattu National Park, Yala National Park, Pigeon Island"
"butterfly watching, kayaking, themed parks","Colombo Port City, Kitulgala, Bentota River, Bolgoda Lake, Sinharaja Forest Reserve"
"bird watching, photography, cycling","Sinharaja Forest Reserve, Nine Arches Bridge, Bundala National Park, Horton Plains National Park, Anawilundawa Wetlands"
"botanical gardens, historic walks, historical monuments","Anuradhapura, Royal Botanical Gardens, Peradeniya, Hakgala Botanical Garden, Dry Zone Botanic Gardens, Hambantota, Polonaruwa"
"paddleboarding, river cruises, history tours","Polonnaruwa Ancient City, Bentota River, Trincomalee, Galle Dutch Fort, Unawatuna Beach"
"beach visits, historic sites, village homestays","Haputale, Mirissa Beach, Hiriketiya Beach, Bentota Beach, Ella"
"sailing lessons, craft workshops, butterfly watching","Trincomalee, Bentota, Sinharaja Forest Reserve, Batadombalena Craft Centre, Horton Plains National Park"
"kayaking, landscape photography, arts and culture","Museum of Modern and Contemporary Art, Unawatuna Lagoon, Nelung Arts Centre, Bolgoda Lake, Ahungalla"
"cycling, planetarium visits, wildlife viewing","Ella, Kanneliya National Rain Forest Reserve, Udawalawe National Park, Sri Lanka Planetarium, Hatton"
"snorkeling, theater, elephant rides","Lionel Wendt Art Centre, Mirissa Beach, Nilaveli Beach, Nelung Arts Centre, Pinnawala"
"botanical gardens, caving, historic walks","Batatotalena (Batadombalena) Cave, Galle Fort, Kandy Lake, Belilena Caves, Dry Zone Botanic Gardens, Hambantota"
"kayaking, theater, caving","Ritigala, Nelum Pokuna Theatre, Ahungalla, Kalpitiya Lagoon, Madu River"
"local crafts, craft workshops, botanical gardens","Dry Zone Botanic Gardens, Hambantota, Ambalangoda Mask Workshop, Kandy, Batadombalena Craft Centre, Ambalangoda"
"elephant rides, traditional ceremonies, river cruises","Sri Dalada Maligawa, Madu River, Udawalawe, Pinnawala, Bentota River"
"waterfalls, landscape photography, art classes","Bambarakanda Falls, Ramboda Falls, Dunhinda Waterfall, Ravan Ella Waterfall, Sigiriya"
"photography, literary tours, caving","Nine Arches Bridge, Yala National Park, Martin Wickramasinghe Folk Museum, Horton Plains National Park, Belilena Caves"
"public art installations, mountain biking, theater","Knuckles, Nelum Pokuna Theatre, Kandy, Colombo, Nelung Arts Centre"
"mountain biking, boat safaris, village homestays","Ella, Knuckles, Madu River, Haputale, Hatton"
"amusement parks, cultural festivals, mountain biking","Colombo Port City, Leisure World, Knuckles, Excel World, Nallur Kandaswamy Devasthanam"
"outdoor adventures, city tours, sailing","Pigeon Island, Kitulgala, Riverstone Gap, Trincomalee Harbour, Colombo Port City"
"sailing lessons, elephant rides, cultural experiences","Negombo, Mihintale, Udawalawe, Trincomalee, Dambulla Royal Cave Temple and Golden Temple"
"sailing, literary tours, yoga retreats","Martin Wickramasinghe Folk Museum, Colombo Port City, Galle, Trincomalee Harbour, Negombo Lagoon"
"camping, zip-lining, water parks","Water World Lanka, Kitugala Forest, Meemure, Vaddha Village Camping, Leisure World"
"craft workshops, turtle watching, traditional ceremonies","Kosgoda Turtle Hatchery, Sri Dalada Maligawa, Batadombalena Craft Centre, Pigeon Island, Bentota"
"cultural experiences, literary tours, historic sites","Polonnaruwa Ancient City, Dambulla Royal Cave Temple and Golden Temple, Anuradhapura, Arankelle Forest Monastery, Martin Wickramasinghe Folk Museum"
"scuba diving, historical monuments, golfing","Kalpitiya, Hikkaduwa Coral Sanctuary, Royal Colombo Golf Club, Anuradhapura, Negombo"
"golfing, beachfront dining, wildlife viewing","Galle, Wilpattu National Park, Yala National Park, Victoria Golf Club, Nuwara Eliya Golf Club"
"historical monuments, historic sites, planetarium visits","Polonnaruwa Ancient City, Anuradhapura, Sigiriya, Mihintale, Galle Dutch Fort"
"historic sites, sightseeing, art classes","Sigiriya, Mihintale, Pidurangala Rock, Ella, Anuradhapura"
"amusement parks, art classes, museum visits","Folk Museum, Perl Bay, Colombo, Dutch Museum, Maritime Museum"
"craft workshops, fishing, architecture photography","Ambalangoda Mask Workshop, Negombo Lagoon, Sigiriya, Trincomalee, Weligama Beach"
"yoga retreats, cultural experiences, sailing lessons","Kandy Temple, Dambulla Royal Cave Temple and Golden Temple, Arankelle Forest Monastery, Sri Dalada Maligawa, Hiriketiya"
"whale watching, elephant rides, ayurvedic spa treatments","Mirissa Beach, Hikkaduwa, Udawalawe, Bentota, Trincomalee"
"surfing, cycling, spiritual retreats","Arugam Bay Beach, Ruhunu Maha Kataragama Dewalaya, Ella, Hatton, Weligama Beach (surf and stay)"
"river cruises, turtle watching, kayaking","Madu River, Rekawa Beach, Ahungalla, Colombo Port City, Kalpitiya Lagoon"
"rock climbing, beach visits, temple pilgrimages","Mirissa Beach, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Hiriketiya Beach, Yapahuwa Rock Fortress"
"city tours, architecture tours, elephant rides","Sigiriya, Colombo City Tour, Udawalawe, Kandy City Centre, Galle City Tour"
"zip-lining, botanical gardens, planetarium visits","Sri Lanka Planetarium, Seethawaka Wet Zone Botanical Gardens, Ella, Royal Botanical Gardens, Peradeniya, Hakgala Botanical Garden"
"literary tours, landscape photography, beachfront dining","Mirissa Beach, Unawatuna, Sigiriya, Ella Gap, Galle"
"waterfalls, golfing, arts and culture","Dunhinda Waterfall, Devon Falls, Nuwara Eliya Golf Club, Bakers Falls, Victoria Golf Club"
"sailing, yoga retreats, caving","Trincomalee Harbour, Galle, Ritigala, Wavulpone Cave, Mahalenama Cave"
"arts and culture, yoga retreats, turtle watching","Pigeon Island, Kosgoda Turtle Hatchery, Gangaramaya Temple, Nelung Arts Centre, Museum of Modern and Contemporary Art"
"architecture tours, arts and culture, botanical gardens","Galle Dutch Fort, Royal Botanical Gardens, Peradeniya, Nelung Arts Centre, Jaffna Public Library, Museum of Modern and Contemporary Art"
"temple pilgrimages, tea tasting, historic walks","Kandy, Anuradapura, Dambulla Royal Cave Temple and Golden Temple, Polonaruwa, Nuwara Eliya"
"temple pilgrimages, tea tasting, planetarium visits","Jaya Sri Maha Bodhi, Mihintale, Dambulla Royal Cave Temple and Golden Temple, Sri Pada / Adams Peak, Sri Lanka Planetarium"
"history tours, safaris, city tours","Wilpattu National Park, Kandy City Centre, Galle City Tour, Sigiriya, Yala National Park"
"beach visits, mountain biking, yoga retreats","Knuckles, Marakolliya Beach, Tangalle Beach, Uppuveli Beach, Hiriketiya Beach"
"temple pilgrimages, sailing lessons, snorkeling","Negombo, Trincomalee, Hikkaduwa Beach, Pigeon Island, Mirissa Beach"
"sightseeing, safaris, theater","Yala National Park, Ella, Lionel Wendt Art Centre, Galle Lighthouse, Nelum Pokuna Theatre"
"local crafts, horse shows, hot air ballooning","Kandy, Ambalangoda, Nuwara Eliya, Dambulla, Kandalama"
"sightseeing, snorkeling, cycling","Galle Lighthouse, Mirissa Beach, Ella, Horton Plains, Pidurangala Rock"
"city tours, yoga retreats, craft workshops","Colombo City Tour, Galle, Batadombalena Craft Centre, Hiriketiya, Kandy City Centre"
"historic walks, cultural festivals, golfing","Polonaruwa, Kandy Lake, Anuradapura, Nuwara Eliya Golf Club, Nallur Kandaswamy Devasthanam"
"city tours, horseback riding, local crafts","Colombo City Tour, Galle City Tour, Nuwara Eliya, Kandy City Centre, Haputale"
"animal encounters, hot air ballooning, horse shows","Elephant Transit Home, Udawalawe National Park, Pinnawala Elephant Orphanage, Kandy, Yala National Park"
"turtle watching, wildlife viewing, craft workshops","Wilpattu National Park, Bentota, Rekawa Beach, Ambalangoda Mask Workshop, Hikkaduwa"
"zip-lining, sailing, sea cruises","Ella, Kithulgala, Mirissa Beach, Colombo Port City, Trincomalee Harbour"
"museum visits, local crafts, elephant rides","Kandy National Museum, Udawalawe, Ambalangoda, Maritime Museum, National Museum Galle"
"city tours, arts and culture, planetarium visits","Galle City Tour, Colombo City Tour, Gangaramaya Temple, Museum of Modern and Contemporary Art, Nelung Arts Centre"
"rock climbing, historic walks, architecture photography","Velgam Vehera Buddhist Temple, Knuckles, Anuradapura, Ambuluwawa Tower, Galle Fort"
"camping, tea tasting, amusement parks","Perl Bay, Knuckles, Leisure World, Meemure, Nuwara Eliya"
"archaeological sites, water parks, historic walks","Leisure World, Kandy Lake, Sigiriya, Polonaruwa, Pearl Bay"
"village homestays, sailing lessons, outdoor adventures","Riverstone Gap, Hikkaduwa Coral Sanctuary, Trincomalee, Pigeon Island, Ella"
"scuba diving, yoga retreats, sightseeing","Kalpitiya, Pidurangala Rock, Horton Plains, Negombo, Pigeon Island"
"waterfalls, animal encounters, fishing","Elephant Transit Home, Devon Falls, Bomburu Ella Waterfall, Kalpitiya, Hikkaduwa"
"beach visits, turtle watching, rock climbing","Uppuveli Beach, Koggala Beach, Pigeon Island, Arugam Bay Beach, Nilaveli Beach"
"river cruises, literary tours, public art installations","Madu River, Kandy, Bentota River, Martin Wickramasinghe Folk Museum, Jaffna Public Library"
"paddleboarding, village homestays, elephant rides","Haputale, Bentota River, Udawalawe, Ella, Negambo"
"museum visits, architecture tours, cycling","National Museum Galle, Colombo National Museum, Galle Dutch Fort, Sigiriya, Kandy National Museum"
"cultural experiences, waterfalls, zip-lining","Bakers Falls, Anuradhapura, Ravan Ella Waterfall, Kandy Temple, Bambarakiri Ella"
"caving, art classes, tea tasting","Galle, Kandy, Nuwara Eliya, Colombo, Batatotalena (Batadombalena) Cave"
"horseback riding, amusement parks, village homestays","Dambulla, Haputale, Excel World, Colombo Port City, Ella"
"mountain biking, cycling, surfing","Mirissa Beach, Ella, Hikkaduwa Beach, Knuckles, Hatton"
"literary tours, scuba diving, horse shows","Jaffna Public Library, Nuwara Eliya, Hikkaduwa Coral Sanctuary, Pigeon Island, Kalpitiya"
"architecture photography, historic sites, architecture tours","Dambulla Royal Cave Temple and Golden Temple, Ambuluwawa Tower, Galle Dutch Fort, Sigiriya, Velgam Vehera Buddhist Temple"
"village homestays, butterfly watching, golfing","Sinharaja Forest Reserve, Knuckles, Haputale, Ella, Horton Plains National Park"
"cultural festivals, camping, golfing","Royal Colombo Golf Club, Meemure, Kandy, Yala National Park, Vaddha Village Camping"
"historic walks, traditional ceremonies, bird watching","Horton Plains National Park, Sinharaja Forest Reserve, Polonaruwa, Kumana National Park, Bundala National Park"
"horseback riding, photography, literary tours","Nine Arches Bridge, Sigiriya, Horton Plains National Park, Yala National Park, Jaffna Public Library"
"hot air ballooning, caving, bird watching","Horton Plains National Park, Anawilundawa Wetlands, Wavulpone Cave, Bundala National Park, Mahalenama Cave"
"butterfly watching, outdoor adventures, planetarium visits","Hikkaduwa Coral Sanctuary, Riverstone Gap, Sri Lanka Planetarium, Kitulgala, Pigeon Island"
"archaeological sites, historic walks, hot springs","Anuradapura, Anuradhapura, Madunagala Hot Water Spring, Polonaruwa, Maha Oya Hot Water Springs"
"hot springs, sailing, literary tours","Colombo Port City, Mahapelessa Hot Springs, Jaffna Public Library, Martin Wickramasinghe Folk Museum, Negombo Lagoon"
"architecture photography, yoga retreats, amusement parks","Leisure World, Galle Fort, Hiriketiya, Perl Bay, Velgam Vehera Buddhist Temple"
"fishing, snorkeling, archaeological sites","Trincomalee, Mirissa Beach, Kalpitiya, Unawatuna Beach, Pigeon Island"
"local crafts, museum visits, theater","Kandy National Museum, Ambalangoda, Colombo National Museum, Ratnapura Gem Museum, Nelung Arts Centre"
"village homestays, architecture photography, historical monuments","Sigiriya, Ambuluwawa Tower, Ella, Anuradhapura, Galle Fort"
"cycling, temple pilgrimages, horseback riding","Mihintale, Dambulla Royal Cave Temple and Golden Temple, Hatton, Jaya Sri Maha Bodhi, Dambulla"
"architecture photography, whale watching, turtle watching","Trincomalee, Kosgoda Turtle Hatchery, Dambulla Royal Cave Temple and Golden Temple, Pigeon Island, Hikkaduwa"
"zip-lining, spiritual retreats, sea cruises","Dambulla Royal Cave Temple and Golden Temple, Seetha Eliya, Trincomalee Harbour, Sri Pada / Adams Peak, Kithulgala"
"outdoor adventures, rock climbing, historic walks","Riverstone Gap, Ella Rock, Galle Fort, Surathali Ella, Anuradapura"
"beachfront dining, architecture tours, literary tours","Unawatuna, Mirissa Beach, Galle, Sigiriya, Galle Dutch Fort"
"surfing, art classes, historic sites","Galle, Ahangama, Anuradhapura, Mihintale, Mirissa Beach"
"mountain biking, historic walks, elephant rides","Udawalawe, Knuckles, Polonaruwa, Hatton, Pinnawala"
"waterfalls, butterfly watching, photography","St Clairs Falls, Nine Arches Bridge, Dunhinda Waterfall, Sinharaja Forest Reserve, Bopath Falls"
"hot springs, beachfront dining, golfing","Royal Colombo Golf Club, Mahapelessa Hot Springs, Victoria Golf Club, Madunagala Hot Water Spring, Mirissa Beach"
"history tours, planetarium visits, yoga retreats","Galle Dutch Fort, Galle, Sigiriya, Polonnaruwa Ancient City, Sri Lanka Planetarium"
"safaris, scuba diving, cultural experiences","Anuradhapura, Kumana National Park, Yala National Park, Kandy Temple, Negombo"
"literary tours, arts and culture, architecture tours","National Gallery of Art, Museum of Modern and Contemporary Art, Sigiriya, Nelung Arts Centre, Galle Dutch Fort"
"rock climbing, craft workshops, bird watching","Ella Rock, Horton Plains National Park, Sinharaja Forest Reserve, Ambalangoda Mask Workshop, Bentota"
"public art installations, tea tasting, butterfly watching","Colombo, Sinharaja Forest Reserve, Kandy, Nuwara Eliya, Horton Plains National Park"
"caving, sightseeing, safaris","Horton Plains, Kumana National Park, Belilena Caves, Galle Lighthouse, Batatotalena (Batadombalena) Cave"
"amusement parks, ayurvedic spa treatments, whale watching","Colombo Port City, Mirissa Beach, Perl Bay, Bentota, Leisure World"
"turtle watching, botanical gardens, safaris","Kumana National Park, Wilpattu National Park, Yala National Park, Hikkaduwa, Royal Botanical Gardens, Peradeniya"
"craft workshops, safaris, paddleboarding","Bentota River, Minneriya National Park, Yala National Park, Batadombalena Craft Centre, Ambalangoda Mask Workshop"
"elephant rides, botanical gardens, historic walks","Udawalawe, Seethawaka Wet Zone Botanical Gardens, Galle Fort, Pinnawala, Polonaruwa"
"spiritual retreats, fishing, boat safaris","Kalpitiya, Sri Pada / Adams Peak, Seetha Eliya, Weligama Beach, Dambulla Royal Cave Temple and Golden Temple"
"caving, golfing, horse shows","Kandy, Nuwara Eliya, Mahalenama Cave, Victoria Golf Club, Nuwara Eliya Golf Club"
"archaeological sites, water parks, sailing lessons","Pearl Bay, Trincomalee, Negombo, Polonaruwa, Leisure World"
"horse shows, theater, cycling","Nelung Arts Centre, Ella, Lionel Wendt Art Centre, Nelum Pokuna Theatre, Kandy"
"surfing, beach visits, cycling","Arugam Bay Beach, Koggala Beach, Bentota Beach, Tangalle Beach, Hatton"
"art classes, horseback riding, landscape photography","Nuwara Eliya, Dambulla, Haputale, Colombo, Sigiriya"
"temple pilgrimages, hiking, caving","Mahalenama Cave, Sri Pada / Adams Peak, Dambulla Royal Cave Temple and Golden Temple, Ritigala, Jaya Sri Maha Bodhi"
"landscape photography, sailing lessons, safaris","Horton Plains, Wilpattu National Park, Negombo, Trincomalee, Minneriya National Park"
"hiking, architecture tours, sightseeing","Galle Lighthouse, Horton Plains National Park, Sri Pada / Adams Peak, Galle Dutch Fort, Ella"
"city tours, butterfly watching, waterfalls","Dunhinda Waterfall, Galle City Tour, Bambarakanda Falls, Colombo City Tour, Kanneliya National Rain Forest Reserve"
"cultural festivals, tea tasting, theater","Nallur Kandaswamy Devasthanam, Nelung Arts Centre, Nuwara Eliya, Lionel Wendt Art Centre, Nelum Pokuna Theatre"
